0001, 61.49324483103242
0002, 58.75572601558714
0003, 57.31288688887725
0004, 52.1212167984035
0005, 61.493244831032
0006, 52.12121679840333
0007, 60.56905787894465
0008, 54.624870499890356
0009, 52.12121679840362
0010, 61.493244831031866
0011, 61.49324483103242
0012, 40.27848643539066
0013, 61.49324483103282
0014, 63.57746843827916
0015, 61.49324483103242
0016, 52.60808353068987
0017, 54.624870499890356
0018, 52.12121679840336
0019, 61.49324483103242
0020, 45.476134563930685
0021, 63.98313068007582
0022, 54.94224600640442
0023, 49.0440907651716
0024, 61.49324483103242
0025, 52.12121679840343
0026, 52.66506493137698
0027, 52.12121679840336
0028, 61.49324483103276
0029, 79.07261739454728
0030, 63.57746843827916
0031, 51.66888917738452
0032, 61.493244831031866
0033, 49.469686839004545
0034, 67.91048524026175
0035, 61.4932448310319
0036, 66.98641316918942
0037, 52.12121679840351
0038, 63.48634604359578
0039, 63.57746843827916
0040, 52.121216798403715
0041, 53.139896278883626
0042, 54.624870499890356
0043, 46.24182686972104
0044, 61.49324483103258
0045, 54.00409466394631
0046, 45.52410261390563
0047, 61.49324483103242
0048, 51.610309711759406
0049, 57.20779824524697
0050, 61.49324483103258
